ignore_masked,example,example_masked,intent
,,what is my MASKING_PROVIDER_SPECIALTY_1 deductible for my MASKING_PROVIDER_SPECIALTY_2,deductible_oop_inquiry
,,what is the amount for the MASKING_PROVIDER_SPECIALTY_1 deductible,deductible_oop_inquiry
,,what is the prescription deductible,deductible_oop_inquiry
,,is there a lifetime max on medication costs?,deductible_oop_inquiry
,,does optum set a year-over-year maximum on rx services?,deductible_oop_inquiry
,,how much will the play pay per lifetime for MASKING_PROCEDURE_NAME_1?,deductible_oop_inquiry
,,does the lifetime max apply to MASKING_PROCEDURE_NAME_1?,deductible_oop_inquiry
,,lifetime MASKING_PROCEDURE_NAME_1 for MASKING_PROCEDURE_NAME_1,deductible_oop_inquiry
,,do medication copays apply toward yearly out of pocket maximum,deductible_oop_inquiry
,,do rx copays count toward out of pocket limit,deductible_oop_inquiry
,,does my drug coverage have an out of pocket max too,deductible_oop_inquiry
,,does my prescription copay count towards the out of pocket maximum,deductible_oop_inquiry
,,prescription copay count toward annual out of pocket maximum,deductible_oop_inquiry
,,prescription copay counts toward annual limit,deductible_oop_inquiry
,,would my rx costs go towards the year out of pocket max,deductible_oop_inquiry
,,do medication copays apply toward yeearly out of pocket max,deductible_oop_inquiry
